City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
121,Matara,LK,5.9485,80.5353,79.9,83,100,7.49,overcast clouds
122,Bluff,NZ,-46.6,168.3333,48.92,66,89,18.3,overcast clouds
123,Surab,PK,28.4914,66.2585,76.42,17,36,15.48,scattered clouds
124,Santa Rita,BR,-7.1139,-34.9781,84.87,70,75,8.05,broken clouds
125,Belyy Yar,RU,53.6039,91.3903,64.29,48,0,4.47,clear sky
126,Urubicha,BO,-15.3833,-62.95,82.08,64,36,1.72,scattered clouds
127,Avera,US,33.194,-82.5271,63.91,97,100,6.24,overcast clouds
128,Santa Rosa,PH,14.3122,121.1114,81.1,79,97,10.6,overcast clouds
129,Geelong,AU,-38.1471,144.3607,62.51,82,75,23.02,broken clouds
130,Hay River,CA,60.8156,-115.7999,13.21,97,100,3.15,overcast clouds
131,Ribeira Grande,PT,38.5167,-28.7,63.0,88,75,14.97,broken clouds
132,Lodja,CD,-3.4833,23.4333,91.72,43,85,1.36,overcast clouds
133,Mantua,IT,45.1667,10.7833,65.34,58,100,5.99,overcast clouds
134,Kodiak,US,57.79,-152.4072,33.31,86,100,0.0,light snow
135,Meulaboh,ID,4.1363,96.1285,80.19,77,98,3.13,overcast clouds
136,San Cristobal,VE,7.7669,-72.225,71.78,76,100,4.47,overcast clouds
137,Albany,US,42.6001,-73.9662,46.38,75,100,1.19,overcast clouds
138,Castel San Pietro Terme,IT,44.3986,11.5848,64.45,54,100,6.58,overcast clouds
139,Yerbogachen,RU,61.2767,108.0108,26.64,96,100,12.24,light snow
140,Brae,GB,60.3964,-1.353,41.65,52,100,21.65,overcast clouds
141,Port Elizabeth,ZA,-33.918,25.5701,71.1,54,35,11.99,scattered clouds
142,Predejane,RS,42.8294,22.1311,67.98,36,2,4.85,clear sky
143,Sivaki,RU,52.6333,126.75,23.04,46,100,17.92,overcast clouds
144,Keshod,IN,21.3,70.25,86.79,47,64,13.51,broken clouds
145,Zhigalovo,RU,54.8097,105.1578,35.02,98,100,2.71,overcast clouds
146,Semirom,IR,31.4167,51.5667,60.31,18,99,18.95,overcast clouds
147,Port Blair,IN,11.6667,92.75,82.4,72,15,7.4,few clouds
148,Emilio Carranza,MX,19.9711,-96.6114,76.98,54,8,4.47,clear sky
149,Sorland,NO,67.667,12.6934,37.26,65,0,27.63,clear sky
150,Skjervoy,NO,70.0311,20.9714,32.0,65,100,15.52,light snow
151,Vredendal,ZA,-31.6683,18.5012,69.24,48,10,15.68,clear sky
152,San Julian,MX,21.0167,-102.1667,52.41,40,89,2.68,overcast clouds
153,Paracuru,BR,-3.41,-39.0306,82.11,75,98,6.31,overcast clouds
154,Victoria,HK,22.2855,114.1577,73.45,69,46,11.01,scattered clouds
155,Fairbanks,US,64.8378,-147.7164,13.6,84,0,0.0,clear sky
156,Laishevo,RU,55.4046,49.5504,39.42,94,100,17.63,overcast clouds
157,Hambantota,LK,6.1241,81.1185,80.74,78,100,4.74,overcast clouds
158,Westport,US,41.1415,-73.3579,49.75,94,100,17.27,moderate rain
159,Kavieng,PG,-2.5744,150.7967,80.38,84,100,13.0,light rain
160,Grindavik,IS,63.8424,-22.4338,30.67,69,20,19.57,few clouds
161,Olafsvik,IS,64.8945,-23.7142,28.31,60,33,20.69,scattered clouds
162,Auki,SB,-8.7676,160.7034,76.69,88,100,5.79,light rain
163,Qiongshan,CN,20.0058,110.3542,70.88,72,4,5.32,clear sky
164,Shiyan,CN,32.6475,110.7781,68.97,37,0,3.58,clear sky
165,Lebu,CL,-37.6167,-73.65,54.52,85,0,4.76,clear sky
166,Owando,CG,-0.4819,15.8999,79.86,64,100,1.74,overcast clouds
167,Maine-Soroa,NE,13.2114,12.0241,107.15,5,12,16.46,few clouds
168,New Norfolk,AU,-42.7826,147.0587,51.71,62,0,2.33,clear sky
169,Moerai,PF,-22.4333,-151.3333,80.94,71,98,12.17,overcast clouds
170,Nianzishan,CN,47.5167,122.8833,29.23,33,97,9.22,overcast clouds
171,Longyearbyen,SJ,78.2186,15.6401,12.04,67,20,13.8,few clouds
172,Kapoeta,SS,4.7717,33.5903,100.09,20,48,21.3,scattered clouds
173,Ketchikan,US,55.3422,-131.6461,39.67,81,40,8.05,scattered clouds
174,Sosnovo-Ozerskoye,RU,52.5249,111.5418,20.62,88,83,1.9,broken clouds
175,Pevek,RU,69.7008,170.3133,-20.74,100,98,5.23,overcast clouds
176,Richards Bay,ZA,-28.783,32.0377,82.44,72,0,11.18,clear sky
177,San Rafael,AR,-34.6177,-68.3301,71.92,25,0,3.87,clear sky
178,Arman,RU,59.7,150.1667,23.02,79,100,11.34,overcast clouds
179,Kavaratti,IN,10.5669,72.642,84.29,72,100,10.83,overcast clouds
180,Palaia Fokaia,GR,37.72,23.9463,70.99,62,1,5.01,clear sky
181,Mana,GF,5.6592,-53.7767,79.43,84,72,9.82,broken clouds
182,Mar Del Plata,AR,-38.0023,-57.5575,68.88,62,0,12.66,clear sky
183,Port Alfred,ZA,-33.5906,26.891,67.17,65,91,11.99,overcast clouds
184,Canico,PT,32.6333,-16.85,65.71,63,40,9.22,scattered clouds
185,Cauquenes,CL,-35.9671,-72.3225,60.3,66,8,3.36,clear sky
186,Warora,IN,20.2333,79.0,102.63,11,13,4.23,few clouds
187,Pandharpur,IN,17.6667,75.3333,100.87,14,57,10.58,broken clouds
