City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
251,Hobyo,SO,84.31,clear sky,5.3505,48.5268,Iftin hotel hobyo
254,Loubomo,CG,84.88,broken clouds,-4.1997,12.6739,La Dolisienne
261,Nisia Floresta,BR,83.21,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
266,Kongolo,CD,87.58,overcast clouds,-5.3833,27.0,GUEST HOUSE OASIS
269,Cairns,AU,78.75,few clouds,-16.9167,145.7667,Mantra Trilogy Cairns
270,Porbandar,IN,87.24,broken clouds,21.6422,69.6093,Lords Inn Porbandar
274,Gilbues,BR,87.37,clear sky,-9.8317,-45.3439,Hotel Camapuã
277,Dingle,PH,76.28,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
280,Kieta,PG,76.6,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
281,Veraval,IN,83.01,scattered clouds,20.9,70.3667,Lords Inn Somnath
283,Tambun,ID,84.09,broken clouds,-6.2641,107.0712,Metland Hotel Bekasi
284,Muli,MV,84.25,scattered clouds,2.9167,73.5667,Medhufushi Island Resort
287,Kismayo,SO,85.15,clear sky,-0.3582,42.5454,Agan-Hotel
293,Karratha,AU,85.75,light rain,-20.7377,116.8463,ibis Styles Karratha
294,Umtata,ZA,75.02,clear sky,-31.5889,28.7844,LLZZ Boutique Lodge
295,Zwedru,LR,88.75,moderate rain,6.0667,-8.1281,Elijah Worjloh
298,Bonthe,SL,86.92,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
300,Iguatu,BR,84.52,scattered clouds,-6.3594,-39.2986,Havenna Hotel
304,Faanui,PF,82.38,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
306,Manokwari,ID,79.72,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
315,Nha Trang,VN,77.0,overcast clouds,12.25,109.1833,Hanoi Golden Hotel
324,Mahajanga,MG,85.53,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
329,Pitimbu,BR,84.79,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
331,Sabancuy,MX,78.78,few clouds,18.9667,-91.1833,pulpo
337,Brownsville,US,75.15,mist,25.9018,-97.4975,Best Western Hotel Plaza Matamoros
339,Malanje,AO,82.6,scattered clouds,-9.5402,16.341,Hotel Ginga
341,Grand Gaube,MU,81.37,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
344,Bull Savanna,JM,77.14,broken clouds,17.8868,-77.5902,Big Red's
345,Lorengau,PG,80.55,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
346,Chabahar,IR,81.82,clear sky,25.2919,60.643,هتل گدروشیا
348,Salalah,OM,84.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
352,Cap Malheureux,MU,81.46,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
357,Nagua,DO,78.85,few clouds,19.3832,-69.8474,Hotel Cambri
