City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
208,Menongue,AO,2022-04-03 15:07:58,-14.6585,17.691,71.51,73,99,6.2
209,Rocha,UY,2022-04-03 15:07:58,-34.4833,-54.3333,74.82,59,100,11.43
210,Lavrentiya,RU,2022-04-03 15:04:16,65.5833,-171.0,-12.71,94,31,10.2
211,Tanakpur,IN,2022-04-03 15:07:59,29.0833,80.1167,79.83,10,0,6.96
212,Lewistown,US,2022-04-03 15:07:59,40.5992,-77.5714,46.72,100,100,9.22
213,Hirara,JP,2022-04-03 15:07:59,24.8,125.2833,68.52,73,100,27.0
214,Egvekinot,RU,2022-04-03 15:07:59,66.3167,-179.1667,-11.85,88,13,19.17
215,Burnie,AU,2022-04-03 15:08:00,-41.0667,145.9167,56.01,74,67,3.89
216,Barraute,CA,2022-04-03 15:08:00,48.4335,-77.6328,33.84,95,100,2.84
217,Comodoro Rivadavia,AR,2022-04-03 15:08:00,-45.8667,-67.5,58.86,29,0,19.57
218,Dalvik,IS,2022-04-03 15:08:01,65.9702,-18.5286,33.69,98,100,7.9
219,Bad Zwischenahn,DE,2022-04-03 15:08:01,53.1833,8.0,49.08,58,93,14.81
220,Laguna,US,2022-04-03 15:08:02,38.421,-121.4238,58.96,66,0,3.44
221,Sinnamary,GF,2022-04-03 15:08:03,5.3833,-52.95,80.64,83,36,11.25
222,Valdivia,CL,2022-04-03 15:06:01,-39.8142,-73.2459,51.89,53,77,1.34
223,Thinadhoo,MV,2022-04-03 15:08:03,0.5333,72.9333,83.39,69,64,3.69
224,Omachi,JP,2022-04-03 15:08:04,36.5,137.8667,39.42,97,100,1.48
225,Kargalinskaya,RU,2022-04-03 15:08:04,43.7417,46.4792,61.84,51,100,8.39
226,Bridgend,GB,2022-04-03 15:08:05,51.5058,-3.5772,50.05,60,78,13.0
227,Lata,PT,2022-04-03 15:08:05,40.1629,-8.3327,57.81,23,6,12.28
228,Mamlyutka,KZ,2022-04-03 15:08:05,54.9375,68.5394,38.97,90,100,8.63
